书名,推荐,类别,收录原因,页数,链接,状态,入库,评价,读后感,创建时间,笔记,副标题
邓小平时代,,文学小说和传记,网友推荐,754,https://book.douban.com/subject/20424526/,未读,,好评8.5+,,2026年6月26日 22:42,,
基础造型力,,艺术设计与理论基础,小红书解析推荐,152,https://book.douban.com/subject/36806744/,未读,,推荐7-8,,2026年6月9日 10:06,,开启艺术设计之门
攀登不可能之山,,,忘了哪里收录应该也是ai推荐的,314,https://book.douban.com/subject/36860326/,未读,,推荐7-8,,2026年5月21日 16:34,,
第五项修炼,,,和ai聊ai浪潮如何学习时推荐的书，评论区说这是偏系统思考的方法论的书,455,https://book.douban.com/subject/4051739/,未读,,好评8.5+,,2026年5月21日 16:21,,学习型组织的艺术与实践
分类思维,,,淘宝推荐的，介绍了很多分类思路和方法,272,https://book.douban.com/subject/36326989/,未读,,一般7-,,2026年5月21日 16:19,,不确定情境中合理决策的科学与艺术
系统论,,,小红书刷到的，系统介绍系统论哲学,359,https://book.douban.com/subject/4274499/,未读,,推荐7-8,,2026年5月8日 22:39,,系统科学哲学
政治学的思维方式,,,小红书推荐的政治学入门读物,360,https://book.douban.com/subject/26220998/,未读,,推荐7-8,,2026年5月6日 16:24,,
柏杨白话版资治通鉴,,,推特推荐，白话版更易读，类似看故事，作者点评也到位,999,https://book.douban.com/subject/34446495/,未读,,好评8.5+,,2026年4月30日 09:56,,
二战信息图,,,小红书刷到的，图表形式介绍二战，比较易懂，可以快速的对二战有个全面的了解,186,https://book.douban.com/subject/35785679/,未读,,好评8.5+,,2026年4月13日 14:17,,数据化全景透视第二次世界大战
洛伦佐绘画创作教程（全3册）,,,小红书刷到的通俗易懂的绘画理论书籍,708,https://book.douban.com/subject/36330431/,未读,,好评8.5+,,2026年4月11日 12:59,,一看就会的万物绘画说明书
参谋助手论,,,老书，务实教授工作方法,282,https://book.douban.com/subject/3896758/,未读,,推荐7-8,,2026年4月11日 12:57,,为首长服务的艺术
伯恩斯新情绪疗法,,,ai推荐的,520,https://book.douban.com/subject/5980113/,未读,,好评8.5+,,2026年4月11日 12:56,,临床验证完全有效的非药物治愈抑郁症疗法
存在主义心理治疗,,,AI根据心理推荐的书籍,573,https://book.douban.com/subject/26304954/,未读,,好评8.5+,,2026年4月11日 12:50,,
故乡天下黄花,,,推特推荐，令其沉迷的刘震云作品,260,https://book.douban.com/subject/1005939/,未读,,推荐7-8,,2026年4月11日 11:43,,
逃不开的经济周期,,,推特推荐,428,https://book.douban.com/subject/20272113/,未读,,推荐7-8,,2026年4月11日 11:41,,历史，理论与投资现实
绘画构图教程,,,小红书卖10块钱，内容简洁干练,135,https://book.douban.com/subject/3811745/,未读,,,,2026年3月24日 11:42,,
构建之法,,,找ai思维框架时推荐的书,464,https://book.douban.com/subject/27069503/,未读,,好评8.5+,,2026年3月6日 02:00,,现代软件工程
反脆弱,,,,408,https://book.douban.com/subject/25782902/,未读,,推荐7-8,,2026年3月6日 01:58,,从不确定性中获益
系统之美,,,搭建ai思考框架时看到的推荐,290,https://book.douban.com/subject/11528220/,未读,,推荐7-8,,2026年3月6日 01:57,,决策者的系统思考
诡辩与反驳,,,吵架神器，老书,165,https://book.douban.com/subject/37516220/,未读,,,,2026年3月6日 01:56,,提升逻辑思维与辩论能力
基层中国的运行逻辑,,,据说类似置身事内,370,https://book.douban.com/subject/37663710/,未读,,推荐7-8,,2026年3月6日 01:55,,
解惑：心智模式决定你的一生,,,,268,https://book.douban.com/subject/35372999/,未读,,推荐7-8,,2026年3月6日 01:54,,
论心灵之安宁,,,推特推荐,176,https://book.douban.com/subject/36826670/,未读,,推荐7-8,,2026年3月6日 01:53,,
数学指南,,,推特高分推荐，内容全面,1332,https://book.douban.com/subject/7061949/,未读,,好评8.5+,,2026年2月11日 08:52,,实用数学手册
物理世界,,,推特刷到的，内容全门槛低,1004,https://book.douban.com/subject/36216262/,未读,,好评8.5+,,2026年2月11日 08:50,,
逻辑表达,,,,191,https://book.douban.com/subject/34933227/,未读,,一般7-,,2026年2月1日 15:55,,高效沟通的金字塔思维
逻辑思考,,,从实际出发，介绍各种工作方法,,https://book.douban.com/subject/37426303/,未读,,推荐7-8,,2026年2月1日 15:53,,看清解决复杂问题的逻辑主线
通识,,,详细介绍了学科门类,312,https://book.douban.com/subject/30414788/,未读,,推荐7-8,,2026年2月1日 15:52,,学问的门类
诺兰变奏曲,,,狮子艺术推荐,380,https://book.douban.com/subject/36478323/,未读,,好评8.5+,,2026年2月1日 15:51,,
说话写文章的逻辑,,,,243,https://book.douban.com/subject/37444117/,未读,,,,2026年2月1日 15:50,,
认识电影,,,,484,https://book.douban.com/subject/2326403/,未读,,好评8.5+,,2026年2月1日 15:49,,
编码,,,计算机基础，高分好评,392,https://book.douban.com/subject/4822685/,未读,,好评8.5+,,2026年2月1日 15:48,,隐匿在计算机软硬件背后的语言
怎样解题,,,推特看到的推荐,,https://book.douban.com/subject/30373956/,未读,,好评8.5+,,2026年2月1日 15:46,,数学思维的新方法
学术写作原来是这样,,,,244,https://book.douban.com/subject/35299013/,未读,,推荐7-8,,2026年2月1日 15:45,,语言、逻辑和结构的全面提升
哲学、政治学与经济学导论,,,,309,https://book.douban.com/subject/37507954/,未读,,好评8.5+,,2026年2月1日 15:44,,
哲学·科学·常识,,,人类求知过程的发展,370,https://book.douban.com/subject/27139938/,未读,,好评8.5+,,2026年2月1日 15:43,,
中国国家治理的制度逻辑,,,了解一下社会发展逻辑,467,https://book.douban.com/subject/26901114/,未读,,好评8.5+,,2026年2月1日 15:42,,一个组织学研究
电影的秘密,,,,552,https://book.douban.com/subject/30301599/,未读,,好评8.5+,,2026年2月1日 15:38,,形式与意义（插图第6版）
建筑：形式、空间和秩序,,,关卡设计可读，评分高,416,https://book.douban.com/subject/3340939/,未读,,好评8.5+,,2026年2月1日 15:14,,
动画大师课：分镜头脚本设计,,,AI推荐,120,https://book.douban.com/subject/35510490/,未读,未找到,,,2026年1月19日 15:41,,
你为什么这样做,,,介绍日常行为背后的心理原因,288,https://book.douban.com/subject/37868823/,未读,未找到,,,2025年12月29日 13:41,,
警察逻辑能力教程,,,警察思维逻辑训练的书籍，可以看看，提升临时处理能力,409,https://book.douban.com/subject/3192763/,未读,寻找中,一般7-,,2025年12月22日 11:49,,
图解照明设计,收藏,,介绍室内的照明设计方法，可以提高室内灯光水平,128,https://book.douban.com/subject/30354706/,未读,寻找中,一般7-,,2025年12月22日 11:48,,
思考，快与慢,,,,424,https://book.douban.com/subject/10785583/,未读,,,,2025年12月8日 09:49,,
不确定状况下的判断,,,推特推荐,638,https://book.douban.com/subject/3248694/,未读,,推荐7-8,,2025年12月8日 09:48,,
怎样提高记忆力,,,介绍记忆方法,,https://book.douban.com/subject/3132409/,未读,,,,2025年12月7日 15:58,,
打造第二大腦,,,介绍PARA和CODE方法的书,277,https://book.douban.com/subject/36302345/,未读,已下载,好评8.5+,,2025年9月18日 17:53,,
思维力：高效的系统思维,,,,244,https://book.douban.com/subject/35581909/,未读,已下载,,,2025年9月4日 17:55,,
摄影构图法则：让画面从无序到有序,,,,176,https://book.douban.com/subject/37092397/,未读,,,,2025年9月1日 15:18,,
国家为什么会失败：权力、富裕与贫困的根源,,,LinuxDo推荐,560,https://book.douban.com/subject/37321384/,未读,已下载,,,2025年8月22日 16:08,,
游戏设计艺术,,,知乎推荐,644,https://book.douban.com/subject/35460994/,未读,已下载,好评8.5+,,2025年7月23日 11:05,,
小说面面观,,,关于情节和故事的讨论,232,https://book.douban.com/subject/34933187/,未读,已下载,推荐7-8,,2025年7月16日 15:51,,
运动改造大脑,,,冯斌推荐,258,https://book.douban.com/subject/36418973/,未读,未找到,一般7-,,2025年7月8日 16:32,,
影视剧作艺术教程,,,网课视频教程,285,https://book.douban.com/subject/6983402/,未读,已下载,推荐7-8,,2025年7月4日 11:40,,
系统化思维导论,,,,260,https://book.douban.com/subject/26298694/,未读,已下载,推荐7-8,,2025年6月24日 17:27,,
大道,,,,,https://book.douban.com/subject/37322503/,未读,,好评8.5+,,2025年6月13日 15:49,,
民法典与百姓生活100问,,,法律基础科普，开车推荐的,302,https://book.douban.com/subject/35306867/,未读,已下载,推荐7-8,,2025年5月23日 11:37,,
数学也可以这样学,,,,185,https://book.douban.com/subject/34799560/,未读,,,,2025年5月19日 18:38,,
世界观：现代人必须要懂的科学哲学和科学史 ,,,推特刷到的,512,https://book.douban.com/subject/35181762/,未读,已下载,好评8.5+,,2025年5月11日 17:31,,
概率论沉思录,,,提供大量生活实例和常识的解读，讲述概率统计的历史脉络和广泛应用,738,https://book.douban.com/subject/36874373/,未读,寻找中,好评8.5+,,2025年5月11日 15:55,,
统治宇宙的24个公式,,,通过24个代表性公式，揭示了从广阔宇宙到日常生活再到量子世界的内在运行规律。,228,https://book.douban.com/subject/36850225/,未读,未找到,好评8.5+,,2025年5月11日 15:54,,
白话统计,,,短视频推荐,296,https://book.douban.com/subject/30140553/,未读,已下载,好评8.5+,,2025年5月11日 15:53,,
视觉游戏,,,介绍构图和视觉原理,144,https://book.douban.com/subject/30414436/,未读,,好评8.5+,,2025年4月24日 11:15,,
小说是什么,,,小说创作指导,208,https://book.douban.com/subject/37212187,未读,未找到,好评8.5+,,2025年4月24日 10:58,,
故事—材质、结构、风格和银幕剧作的原理,,,内容介绍很完整,508,https://book.douban.com/subject/25976544/,未读,已下载,好评8.5+,,2025年4月22日 19:57,,
研究是一门艺术,,,系统介绍了研究的方法，撰写研究报告的指南,284,https://book.douban.com/subject/4035330/,未读,已下载,好评8.5+,,2025年4月15日 20:43,,
